NM2,NM3,NM4,NM5,IDN5
Banskobystrický,Lučenec,Ábelová,Ábelová,"800015"
Banskobystrický,Rimavská Sobota,Abovce,Abovce,"800040"
Trnavský,Galanta,Abrahám,Abrahám,"800058"
Prešovský,Bardejov,Abrahámovce,Abrahámovce,"800066"
Prešovský,Kežmarok,Abrahámovce,Abrahámovce,"800074"
Žilinský,Turčianske Teplice,Abramová,Abramová,"800091"
Prešovský,Prešov,Abranovce,Abranovce,"800112"
Trenčiansky,Trenčín,Adamovské Kochanovce,Adamovské Kochanovce,"800121"
Prešovský,Humenné,Adidovce,Adidovce,"800155"
Nitriansky,Nitra,Alekšince,Alekšince,"800163"
Nitriansky,Nitra,Zbehy,Andač,"800180"
Nitriansky,Nové Zámky,Andovce,Andovce,"800198"
Prešovský,Bardejov,Andrejová,Andrejová,"800201"
Banskobystrický,Banská Štiavnica,Svätý Anton,Svätý Anton,"800210"
Nitriansky,Topoľčany,Ardanovce,Ardanovce,"800236"
Košický,Rožňava,Ardovo,Ardovo,"800252"
Košický,Spišská Nová Ves,Arnutovce,Arnutovce,"800261"
Nitriansky,Nitra,Báb,Malý Báb,"800287"
Nitriansky,Nitra,Báb,Veľký Báb,"800295"
Prešovský,Vranov nad Topľou,Babie,Babie,"800309"
Žilinský,Námestovo,Babín,Babín,"800317"
Prešovský,Prešov,Terňa,Babin Potok,"800325"
Banskobystrický,Zvolen,Babiná,Babiná,"800333"
Nitriansky,Nitra,Babindol,Babindol,"800341"
Banskobystrický,Rimavská Sobota,Babinec,Babinec,"800350"
Žilinský,Žilina,Lietavská Svinná-Babkov,Babkov,"800376"
Banskobystrický,Brezno,Bacúch,Bacúch,"800384"
Banskobystrický,Zvolen,Bacúrov,Bacúrov,"800392"
Trnavský,Dunajská Streda,Báč,Báč,"800406"
Košický,Trebišov,Bačka,Bačka,"800414"
Košický,Trebišov,Bačkov,Bačkov,"800422"
Košický,Košice - okolie,Bačkovík,Bačkovík,"800431"
Banskobystrický,Krupina,Hontianske Tesáre,Báčovce,"800457"
Banskobystrický,Banská Štiavnica,Baďan,Baďan,"800465"
Banskobystrický,Banská Bystrica,Badín,Badín,"800473"
Bratislavský,Pezinok,Báhoň,Báhoň,"800481"
Košický,Michalovce,Bajany,Bajany,"800490"
Nitriansky,Komárno,Bajč,Bajč,"800503"
Prešovský,Prešov,Bajerov,Bajerov,"800554"
Prešovský,Sabinov,Bajerovce,Bajerovce,"800562"
Nitriansky,Levice,Bajka,Bajka,"800571"
Nitriansky,Nové Zámky,Bajtava,Bajtava,"800589"
Trnavský,Dunajská Streda,Baka,Baka,"800597"
Banskobystrický,Rimavská Sobota,Rimavská Sobota,Bakta,"800601"
Banskobystrický,Banská Bystrica,Baláže,Baláže,"800619"
Prešovský,Levoča,Baldovce,Baldovce,"800627"
Banskobystrický,Veľký Krtíš,Balog nad Ipľom,Balog nad Ipľom,"800635"
Trnavský,Dunajská Streda,Baloň,Baloň,"800643"
Prešovský,Stropkov,Baňa,Baňa,"800651"
Trnavský,Piešťany,Banka,Banka,"800678"
Trenčiansky,Prievidza,Diviaky nad Nitricou,Banky,"800694"
Banskobystrický,Banská Štiavnica,Banská Štiavnica,Banky,"800708"
Nitriansky,Nové Zámky,Bánov,Bánov,"800724"
Nitriansky,Nové Zámky,Bánov,Malá Kesa,"800732"
Žilinský,Žilina,Žilina,Bánová,"800759"
Trenčiansky,Bánovce nad Bebravou,Bánovce nad Bebravou,Bánovce nad Bebravou,"800805"
Košický,Michalovce,Bánovce nad Ondavou,Bánovce nad Ondavou,"801011"
Banskobystrický,Banská Štiavnica,Banská Belá,Banská Belá,"801038"
Banskobystrický,Banská Bystrica,Banská Bystrica,Banská Bystrica,"801062"
Banskobystrický,Banská Bystrica,Banská Bystrica,Sásová,"801101"
Banskobystrický,Banská Bystrica,Banská Bystrica,Radvaň,"801241"
Banskobystrický,Banská Bystrica,Banská Bystrica,Podlavice,"801283"
Banskobystrický,Banská Bystrica,Malachov,Malachov,"801372"
Banskobystrický,Banská Bystrica,Banská Bystrica,Kremnička,"801381"
Banskobystrický,Banská Bystrica,Banská Bystrica,Šalková,"801402"
Banskobystrický,Banská Bystrica,Banská Bystrica,Senica,"801411"
Banskobystrický,Banská Bystrica,Kynceľová,Kynceľová,"801429"
Banskobystrický,Banská Bystrica,Nemce,Nemce,"801437"
Banskobystrický,Banská Bystrica,Banská Bystrica,Kostiviarska,"801453"
Banskobystrický,Žarnovica,Hodruša-Hámre,Banská Hodruša,"801461"
Banskobystrický,Banská Štiavnica,Banská Štiavnica,Banská Štiavnica,"801470"
Prešovský,Vranov nad Topľou,Banské,Banské,"801640"
Banskobystrický,Banská Štiavnica,Banský Studenec,Banský Studenec,"801658"
Košický,Trebišov,Bara,Malá Bara,"801674"
Košický,Trebišov,Bara,Veľká Bara,"801682"
Banskobystrický,Rimavská Sobota,Barca,Barca,"801691"
Prešovský,Bardejov,Bardejov,Bardejov,"801712"
Prešovský,Bardejov,Bardejov,Bardejovská Nová Ves,"802077"
Nitriansky,Nové Zámky,Bardoňovo,Bardoňovo,"802093"
Banskobystrický,Žiar nad Hronom,Bartošova Lehôtka,Bartošova Lehôtka,"802107"
Prešovský,Bardejov,Bartošovce,Bartošovce,"802115"
Košický,Košice - okolie,Baška,Baška,"802123"
Prešovský,Humenné,Baškovce,Baškovce,"802140"
Košický,Sobrance,Baškovce,Baškovce,"802158"
Trnavský,Piešťany,Bašovce,Bašovce,"802166"
Prešovský,Poprad,Batizovce,Batizovce,"802174"
Banskobystrický,Rimavská Sobota,Bátka,Bátka,"802191"
Banskobystrický,Rimavská Sobota,Dulovo,Dulovo,"802204"
Banskobystrický,Veľký Krtíš,Bátorová,Bátorová,"802212"
Nitriansky,Levice,Bátovce,Bátovce,"802221"
Nitriansky,Levice,Bátovce,Jalakšová,"802239"
Nitriansky,Levice,Drženice,Kmeťovce,"802247"
Trenčiansky,Nové Mesto nad Váhom,Beckov,Beckov,"802255"
Prešovský,Levoča,Beharovce,Beharovce,"802263"
Nitriansky,Topoľčany,Veľké Ripňany,Behynce,"802271"
Banskobystrický,Revúca,Tornaľa,Behynce,"802280"
Prešovský,Bardejov,Becherov,Becherov,"802298"
Nitriansky,Nové Zámky,Belá,Belá,"802301"
Žilinský,Martin,Belá-Dulice,Belá,"802328"
Žilinský,Žilina,Belá,Belá,"802336"
Prešovský,Snina,Belá nad Cirochou,Belá nad Cirochou,"802395"
Nitriansky,Zlaté Moravce,Beladice,Beladice,"802409"
Nitriansky,Zlaté Moravce,Beladice,Pustý Chotár,"802417"
Prešovský,Svidník,Belejovce,Belejovce,"802425"
Banskobystrický,Rimavská Sobota,Belín,Belín,"802433"
