The content of the provided images has been converted into Markdown text, combining all pages into a single coherent document.

# INVENTARIZÁCIA A SPOLOČENSKÉ OHODNOTENIE DREVÍN RASTÚCICH MIMO LES
"VRÁTNA VILLAGE - APARTMÁNOVÉ DOMY"

PRÍLOHA Č. 2
Tabuľková časť

---

## Inventarizácia a spoločenské ohodnotenie drevín rastúcich mimo les VRÁTNA VILLAGE - Apartmánové domy

### LOKALITA TZL (stromy)

| Slovensky druh | Latinsky | Skupina | Obvod kmeňa [cm] | Počet [ks] | Hmotnosť rozsah | Zákl. hmotnosť m3 | Výška m | Zdrav. stav | Index a,i | Index aj | Index h,x | Hodnota celkom € |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| Vŕba rakyta | Salix caprea | III | 15 | 1 | 14-17 | 138,00 | 4 | 0 | 1 | 0,9 | 2 | 248,40 |
| Vŕba rakyta | Salix caprea | III | 16 | 1 | 14-17 | 138,00 | 4 | 0 | 1 | 0,9 | 2 | 248,40 |
| Vŕba rakyta | Salix caprea | III | 16 | 1 | 14-17 | 138,00 | 4 | 0 | 1 | 0,9 | 2 | 248,40 |
| Vŕba rakyta | Salix caprea | III | 14 | 1 | 12-14 | 115,00 | 5 | 0 | 1 | 0,9 | 2 | 207,00 |
| Vŕba rakyta | Salix caprea | III | 11 | 1 | 10-12 | 92,00 | 3 | 0 | 1 | 0,9 | 2 | 165,60 |
| Vŕba rakyta | Salix caprea | III | 12 | 1 | 10-12 | 92,00 | 4 | 0 | 1 | 0,9 | 2 | 165,60 |
| Vŕba rakyta | Salix caprea | III | 14 | 1 | 12-14 | 115,00 | 5 | 0 | 1 | 0,9 | 2 | 207,00 |
| Vŕba rakyta | Salix caprea | III | 18 | 1 | 17-20 | 184,00 | 4 | 0 | 1 | 0,9 | 2 | 331,20 |
| Vŕba rakyta | Salix caprea | III | 15 | 1 | 14-17 | 138,00 | 4 | 0 | 1 | 0,9 | 2 | 248,40 |
| Vŕba rakyta | Salix caprea | III | 13 | 1 | 10-12 | 92,00 | 5 | 0 | 1 | 0,9 | 2 | 165,60 |
| Vŕba rakyta | Salix caprea | III | 14 | 1 | 12-14 | 115,00 | 3 | 0 | 1 | 0,9 | 2 | 207,00 |
| Vŕba rakyta | Salix caprea | III | 15 | 1 | 14-17 | 138,00 | 4 | 0 | 1 | 0,9 | 2 | 248,40 |
| Vŕba rakyta | Salix caprea | III | 11 | 1 | 10-12 | 92,00 | 3 | 0 | 1 | 0,9 | 2 | 165,60 |
| Vŕba rakyta | Salix caprea | III | <10 | 1 | <10 | 69,00 | 3 | 0 | 1 | 0,9 | 2 | 124,20 |
| Vŕba rakyta | Salix caprea | III | <10 | 1 | <10 | 69,00 | 3 | 0 | 1 | 0,9 | 2 | 124,20 |
| Vŕba rakyta | Salix caprea | III | <10 | 1 | <10 | 69,00 | 3 | 0 | 1 | 0,9 | 2 | 124,20 |
| Vŕba rakyta | Salix caprea | III | <10 | 1 | <10 | 69,00 | 2 | 0 | 1 | 0,9 | 2 | 124,20 |
| Vŕba rakyta | Salix caprea | III | 17 | 1 | 14-17 | 138,00 | 4 | 0 | 1 | 0,9 | 2 | 248,40 |
| Vŕba rakyta | Salix caprea | III | 17 | 1 | 14-17 | 138,00 | 4 | 0 | 1 | 0,9 | 2 | 248,40 |
| Vŕba rakyta | Salix caprea | III | <10 | 1 | <10 | 69,00 | 4 | 0 | 1 | 0,9 | 2 | 124,20 |
| Vŕba rakyta | Salix caprea | III | 18 | 1 | 17-20 | 184,00 | 3 | 0 | 1 | 0,9 | 2 | 331,20 |
| Vŕba rakyta | Salix caprea | III | 12 | 1 | 10-12 | 92,00 | 4 | 0 | 1 | 0,9 | 2 | 165,60 |
| Vŕba rakyta | Salix caprea | III | <10 | 1 | <10 | 69,00 | 3 | 0 | 1 | 0,9 | 2 | 124,20 |
| Vŕba rakyta | Salix caprea | III | <10 | 1 | <10 | 69,00 | 2 | 0 | 1 | 0,9 | 2 | 124,20 |
| Brest | Ulmus | III | 18 | 1 | 17-20 | 184,00 | 3 | 0 | 1 | 0,9 | 2 | 331,20 |
| Vŕba rakyta | Salix fragilis | III | 12 | 1 | 10-12 | 92,00 | 3 | 0 | 1 | 0,9 | 2 | 165,60 |
| Javor horský | Acer pseudoplatanus | III | 12 | 1 | 10-12 | 92,00 | 3 | 0 | 1 | 0,9 | 2 | 165,60 |
| Javor horský | Acer pseudoplatanus | III | <10 | 1 | <10 | 69,00 | 4 | 0 | 1 | 0,9 | 2 | 124,20 |
